datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,107.71,107.71,94.25368,94.25366,61.82662,126.12403
2022-07-02T01:00:00.000000000,127.91,127.91,122.79285,122.79283,90.36579,154.66319
2022-07-02T02:00:00.000000000,169.31,169.31,160.0687,160.0687,127.64167,191.93907
2022-07-02T03:00:00.000000000,217.19,217.19,189.8835,189.88352,157.45648,221.75388
2022-07-02T04:00:00.000000000,231.37,231.37,205.00912,205.00914,172.5821,236.8795
2022-07-02T05:00:00.000000000,232.7,232.7,207.133,207.133,174.70596,239.00336
2022-07-02T06:00:00.000000000,217.56,217.56,199.3406,199.3406,166.91356,231.21096
2022-07-02T07:00:00.000000000,204.25,204.25,188.64168,188.64168,156.21464,220.51204
2022-07-02T08:00:00.000000000,177.75,177.75,181.21839,181.21838,148.79134,213.08874
2022-07-02T09:00:00.000000000,168.08,168.08,175.02914,175.02914,142.6021,206.8995
2022-07-02T10:00:00.000000000,166.65,166.65,169.08723,169.08723,136.66019,200.9576
2022-07-02T11:00:00.000000000,159.24,159.24,167.42323,167.42323,134.99619,199.2936
2022-07-02T12:00:00.000000000,161.72,161.72,167.7478,167.7478,135.32076,199.61816
2022-07-02T13:00:00.000000000,155.69,155.69,161.45807,161.45807,129.03103,193.32843
2022-07-02T14:00:00.000000000,134.43,134.43,145.61792,145.61793,113.19089,177.48829
2022-07-02T15:00:00.000000000,91.89,91.89,121.73356,121.73357,89.30653,153.60393
2022-07-02T16:00:00.000000000,83.17,83.17,97.71738,97.71739,65.29035,129.58776
2022-07-02T17:00:00.000000000,79.5,79.5,84.17896,84.17896,51.75192,116.04932
2022-07-02T18:00:00.000000000,77.78,77.78,83.64144,83.64144,51.2144,115.5118
2022-07-02T19:00:00.000000000,72.52,72.52,84.32052,84.32051,51.89348,116.19088
2022-07-02T20:00:00.000000000,68.07,68.07,81.11084,81.11084,48.6838,112.9812
2022-07-02T21:00:00.000000000,66.67,66.67,79.38754,79.38753,46.9605,111.2579
2022-07-02T22:00:00.000000000,70.14,70.14,80.34925,80.34923,47.9222,112.2196
2022-07-02T23:00:00.000000000,74.33,74.33,84.70082,84.7008,52.27376,116.57117
2022-07-03T00:00:00.000000000,85.18,85.18,80.83702,80.83703,41.06298,104.93479
2022-07-03T01:00:00.000000000,95.73,95.73,109.2617,109.26172,69.48767,133.35948
2022-07-03T02:00:00.000000000,123.6,123.6,147.82662,147.82662,108.05257,171.92438
2022-07-03T03:00:00.000000000,192.55,192.55,178.89728,178.89728,139.12323,202.99504
2022-07-03T04:00:00.000000000,216.49,216.49,193.42378,193.42378,153.64973,217.52155
2022-07-03T05:00:00.000000000,203.46,203.46,193.98853,193.98851,154.21446,218.08627
2022-07-03T06:00:00.000000000,184.34,184.34,186.10979,186.10979,146.33574,210.20755
2022-07-03T07:00:00.000000000,172.76,172.76,175.96196,175.96197,136.18792,200.05974
2022-07-03T08:00:00.000000000,151.46,151.46,167.34076,167.34077,127.56672,191.43853
2022-07-03T09:00:00.000000000,136.98,136.98,159.87179,159.87181,120.09776,183.96957
2022-07-03T10:00:00.000000000,141.58,141.58,156.21169,156.21169,116.43764,180.30945
2022-07-03T11:00:00.000000000,127.6,127.6,157.26556,157.26556,117.49151,181.36332
2022-07-03T12:00:00.000000000,120.08,120.08,157.89558,157.89559,118.12154,181.99335
2022-07-03T13:00:00.000000000,127.51,127.51,150.79727,150.79728,111.02323,174.89504
2022-07-03T14:00:00.000000000,112.28,112.28,133.62438,133.62439,93.85034,157.72215
2022-07-03T15:00:00.000000000,88.95,88.95,108.67607,108.67607,68.90202,132.77383
2022-07-03T16:00:00.000000000,92.49,92.49,84.63227,84.63227,44.85822,108.73003
2022-07-03T17:00:00.000000000,88.81,88.81,71.42404,71.42404,31.64999,95.5218
2022-07-03T18:00:00.000000000,82.65,82.65,69.49366,69.49366,29.71961,93.59142
2022-07-03T19:00:00.000000000,75.78,75.78,67.60127,67.60128,27.82723,91.69904
2022-07-03T20:00:00.000000000,73.1,73.1,64.51546,64.51547,24.74142,88.61323
2022-07-03T21:00:00.000000000,67.55,67.55,65.28779,65.28779,25.51374,89.38556
2022-07-03T22:00:00.000000000,70.18,70.18,68.13481,68.1348,28.36075,92.23256
2022-07-03T23:00:00.000000000,73.58,73.58,73.03931,73.03931,33.26525,97.13707
2022-07-04T00:00:00.000000000,82.64,82.64,76.83854,76.83851,39.42409,106.36079
2022-07-04T01:00:00.000000000,90.77,90.77,101.76026,101.76025,64.34583,131.28253
2022-07-04T02:00:00.000000000,105.86,105.86,138.56843,138.56843,101.15401,168.09071
2022-07-04T03:00:00.000000000,159.7,159.7,167.90731,167.90731,130.49289,197.42959
2022-07-04T04:00:00.000000000,180.06,180.06,180.35211,180.35211,142.93768,209.87439
2022-07-04T05:00:00.000000000,173.51,173.51,181.44109,181.44109,144.02667,210.96337
2022-07-04T06:00:00.000000000,149.39,149.39,176.6851,176.6851,139.27067,206.20738
2022-07-04T07:00:00.000000000,145.51,145.51,168.54554,168.54554,131.13112,198.06783
2022-07-04T08:00:00.000000000,127.89,127.89,158.9607,158.9607,121.54628,188.48299
2022-07-04T09:00:00.000000000,122.0,122.0,149.47961,149.47961,112.06518,179.00189
2022-07-04T10:00:00.000000000,116.19,116.19,145.27113,145.27114,107.85672,174.79343
2022-07-04T11:00:00.000000000,107.38,107.38,148.87226,148.87226,111.45784,178.39454
2022-07-04T12:00:00.000000000,108.11,108.11,151.53202,151.53202,114.11759,181.0543
2022-07-04T13:00:00.000000000,119.73,119.73,144.27268,144.27268,106.85826,173.79496
2022-07-04T14:00:00.000000000,111.93,111.93,126.6548,126.6548,89.24038,156.17709
2022-07-04T15:00:00.000000000,92.71,92.71,105.05301,105.05301,67.63858,134.57529
2022-07-04T16:00:00.000000000,82.26,82.26,88.12474,88.12475,50.71033,117.64703
2022-07-04T17:00:00.000000000,76.81,76.81,79.57144,79.57145,42.15703,109.09374
2022-07-04T18:00:00.000000000,68.58,68.58,75.99877,75.99877,38.58434,105.52105
2022-07-04T19:00:00.000000000,66.95,66.95,69.19453,69.19454,31.78011,98.71682
2022-07-04T20:00:00.000000000,63.15,63.15,63.40017,63.40016,25.98574,92.92245
2022-07-04T21:00:00.000000000,60.24,60.24,65.2249,65.22488,27.81046,94.74717
2022-07-04T22:00:00.000000000,59.33,59.33,70.41028,70.41026,32.99584,99.93255
2022-07-04T23:00:00.000000000,60.63,60.63,74.14182,74.1418,36.72738,103.66409
2022-07-05T00:00:00.000000000,68.57,68.57,92.84763,92.84761,53.51629,116.06044
2022-07-05T01:00:00.000000000,87.12,87.12,116.00205,116.00203,76.67071,139.21486
2022-07-05T02:00:00.000000000,117.76,117.76,146.1619,146.1619,106.83058,169.37473
2022-07-05T03:00:00.000000000,169.38,169.38,167.32604,167.32604,127.99472,190.53887
2022-07-05T04:00:00.000000000,193.37,193.37,174.02121,174.02121,134.68989,197.23405
2022-07-05T05:00:00.000000000,187.95,187.95,173.19263,173.19263,133.86131,196.40547
2022-07-05T06:00:00.000000000,174.49,174.49,168.10759,168.10759,128.77627,191.32042
2022-07-05T07:00:00.000000000,170.38,170.38,158.29275,158.29275,118.96143,181.50559
2022-07-05T08:00:00.000000000,164.84,164.84,146.93832,146.93832,107.607,170.15116
2022-07-05T09:00:00.000000000,154.64,154.64,136.69946,136.69946,97.36814,159.9123
2022-07-05T10:00:00.000000000,151.72,151.72,130.5695,130.56951,91.23819,153.78234
2022-07-05T11:00:00.000000000,156.54,156.54,130.91625,130.91625,91.58493,154.12908
2022-07-05T12:00:00.000000000,157.14,157.14,134.21843,134.21843,94.88711,157.43126
2022-07-05T13:00:00.000000000,156.05,156.05,129.33387,129.33387,90.00255,152.5467
2022-07-05T14:00:00.000000000,148.64,148.64,112.19602,112.19602,72.8647,135.40886
2022-07-05T15:00:00.000000000,99.91,99.91,95.38349,95.38348,56.05216,118.59631
2022-07-05T16:00:00.000000000,89.97,89.97,88.42579,88.42579,49.09447,111.63863
2022-07-05T17:00:00.000000000,87.8,87.8,84.71083,84.71082,45.3795,107.92365
2022-07-05T18:00:00.000000000,82.83,82.83,79.86135,79.86135,40.53003,103.07418
2022-07-05T19:00:00.000000000,80.62,80.62,73.35853,73.35853,34.02721,96.57136
2022-07-05T20:00:00.000000000,75.27,75.27,70.58229,70.58228,31.25096,93.79512
2022-07-05T21:00:00.000000000,76.14,76.14,72.32238,72.32237,32.99105,95.53521
2022-07-05T22:00:00.000000000,77.79,77.79,76.20374,76.20374,36.87242,99.41658
2022-07-05T23:00:00.000000000,86.72,86.72,84.23957,84.23957,44.90824,107.4524
2022-07-06T00:00:00.000000000,102.37,102.37,95.17237,95.17235,64.14708,127.92029
2022-07-06T01:00:00.000000000,117.29,117.29,121.24094,121.24093,90.21566,153.98887
2022-07-06T02:00:00.000000000,156.75,156.75,159.68745,159.68745,128.66218,192.43539
2022-07-06T03:00:00.000000000,205.21,205.21,189.4915,189.49152,158.46625,222.23946
2022-07-06T04:00:00.000000000,218.66,218.66,201.38761,201.38761,170.36234,234.13555
2022-07-06T05:00:00.000000000,213.82,213.82,200.9804,200.98042,169.95515,233.72836
2022-07-06T06:00:00.000000000,200.28,200.28,194.23634,194.23634,163.21106,226.98427
2022-07-06T07:00:00.000000000,199.75,199.75,184.43821,184.43822,153.41294,217.18615
2022-07-06T08:00:00.000000000,186.48,186.48,176.00738,176.00738,144.9821,208.75531
2022-07-06T09:00:00.000000000,172.73,172.73,167.88792,167.88792,136.86264,200.63585
2022-07-06T10:00:00.000000000,166.73,166.73,159.8697,159.8697,128.84443,192.61764
2022-07-06T11:00:00.000000000,168.64,168.64,158.03123,158.03123,127.00595,190.77916
2022-07-06T12:00:00.000000000,174.77,174.77,162.06047,162.06046,131.03519,194.8084
2022-07-06T13:00:00.000000000,193.2,193.2,158.94673,158.94673,127.92146,191.69467
2022-07-06T14:00:00.000000000,169.37,169.37,139.70712,139.70713,108.68186,172.45507
2022-07-06T15:00:00.000000000,102.66,102.66,109.87406,109.87407,78.8488,142.62201
2022-07-06T16:00:00.000000000,97.02,97.02,84.06685,84.06685,53.04157,116.81479
2022-07-06T17:00:00.000000000,98.11,98.11,70.66334,70.66333,39.63806,103.41127
2022-07-06T18:00:00.000000000,95.91,95.91,71.44335,71.44334,40.41806,104.19128
2022-07-06T19:00:00.000000000,93.69,93.69,75.97405,75.97405,44.94878,108.72199
2022-07-06T20:00:00.000000000,88.92,88.92,79.10629,79.10629,48.08101,111.85423
2022-07-06T21:00:00.000000000,87.64,87.64,82.0492,82.0492,51.02393,114.79714
2022-07-06T22:00:00.000000000,93.82,93.82,85.03968,85.03968,54.01441,117.78762
2022-07-06T23:00:00.000000000,102.55,102.55,89.88282,89.88282,58.85755,122.63076
2022-07-07T00:00:00.000000000,107.78,107.78,106.11829,106.11828,84.00582,146.61451
2022-07-07T01:00:00.000000000,120.83,120.83,134.52822,134.52822,112.41576,175.02445
2022-07-07T02:00:00.000000000,166.3,166.3,175.1244,175.12439,153.01194,215.62063
2022-07-07T03:00:00.000000000,211.2,211.2,205.48674,205.48672,183.37427,245.98296
2022-07-07T04:00:00.000000000,224.26,224.26,216.14337,216.14337,194.03091,256.6396
2022-07-07T05:00:00.000000000,225.55,225.55,214.11966,214.11964,192.00718,254.61587
2022-07-07T06:00:00.000000000,213.99,213.99,206.74479,206.74479,184.63233,247.24102
2022-07-07T07:00:00.000000000,193.89,193.89,198.07537,198.07537,175.96291,238.5716
2022-07-07T08:00:00.000000000,183.03,183.03,192.15825,192.15825,170.0458,232.65449
2022-07-07T09:00:00.000000000,176.02,176.02,185.72014,185.72013,163.60768,226.21637
2022-07-07T10:00:00.000000000,172.03,172.03,177.46402,177.46402,155.35157,217.96026
2022-07-07T11:00:00.000000000,181.24,181.24,176.42697,176.42696,154.31451,216.9232
2022-07-07T12:00:00.000000000,186.06,186.06,182.12909,182.12909,160.01663,222.62532
2022-07-07T13:00:00.000000000,203.65,203.65,178.14767,178.14767,156.03521,218.6439
2022-07-07T14:00:00.000000000,176.77,176.77,154.86437,154.86436,132.7519,195.36059
2022-07-07T15:00:00.000000000,116.67,116.67,119.51625,119.51623,97.40378,160.01247
2022-07-07T16:00:00.000000000,110.42,110.42,89.85328,89.85328,67.74082,130.34951
2022-07-07T17:00:00.000000000,107.05,107.05,76.3029,76.30289,54.19044,116.79913
2022-07-07T18:00:00.000000000,100.11,100.11,79.82356,79.82356,57.7111,120.31979
2022-07-07T19:00:00.000000000,104.26,104.26,87.21805,87.21803,65.10557,127.71426
2022-07-07T20:00:00.000000000,102.28,102.28,90.44809,90.44807,68.33561,130.9443
2022-07-07T21:00:00.000000000,110.96,110.96,92.06329,92.06327,69.95082,132.55951
2022-07-07T22:00:00.000000000,123.87,123.87,94.53461,94.5346,72.42215,135.03084
2022-07-07T23:00:00.000000000,130.67,130.67,99.35725,99.35723,77.24478,139.85347
2022-07-08T00:00:00.000000000,139.71,139.71,133.06516,133.06516,122.07136,201.85554
2022-07-08T01:00:00.000000000,159.72,159.72,158.00572,158.00572,147.01192,226.7961
2022-07-08T02:00:00.000000000,191.86,191.86,194.10031,194.10031,183.10651,262.89069
2022-07-08T03:00:00.000000000,240.64,240.64,224.83501,224.83501,213.84121,293.6254
2022-07-08T04:00:00.000000000,244.54,244.54,238.3492,238.3492,227.3554,307.13958
2022-07-08T05:00:00.000000000,234.33,234.33,235.80879,235.80879,224.81499,304.59917
2022-07-08T06:00:00.000000000,229.84,229.84,225.74593,225.74593,214.75213,294.53631
2022-07-08T07:00:00.000000000,228.02,228.02,216.20517,216.20517,205.21137,284.99556
2022-07-08T08:00:00.000000000,225.68,225.68,211.37368,211.3737,200.3799,280.16408
2022-07-08T09:00:00.000000000,216.03,216.03,205.56743,205.56743,194.57363,274.35782
2022-07-08T10:00:00.000000000,203.31,203.31,197.86387,197.86387,186.87007,266.65425
2022-07-08T11:00:00.000000000,198.7,198.7,199.15526,199.15527,188.16147,267.94566
2022-07-08T12:00:00.000000000,208.47,208.47,206.55684,206.55684,195.56304,275.34722
2022-07-08T13:00:00.000000000,228.01,228.01,203.14027,203.14029,192.14649,271.93067
2022-07-08T14:00:00.000000000,192.86,192.86,180.54745,180.54745,169.55365,249.33783
2022-07-08T15:00:00.000000000,134.99,134.99,143.96102,143.96103,132.96723,212.75142
2022-07-08T16:00:00.000000000,127.58,127.58,111.37167,111.37166,100.37786,180.16205
2022-07-08T17:00:00.000000000,120.6,120.6,95.40073,95.40072,84.40692,164.19111
2022-07-08T18:00:00.000000000,120.24,120.24,97.50562,97.50561,86.51182,166.296
2022-07-08T19:00:00.000000000,117.38,117.38,103.38551,103.3855,92.39171,172.17589
2022-07-08T20:00:00.000000000,117.2,117.2,105.8287,105.8287,94.8349,174.61908
2022-07-08T21:00:00.000000000,117.85,117.85,109.09769,109.09769,98.10389,177.88807
2022-07-08T22:00:00.000000000,127.49,127.49,115.071,115.071,104.07721,183.86139
2022-07-08T23:00:00.000000000,133.21,133.21,122.90463,122.90463,111.91083,191.69501
2022-07-09T00:00:00.000000000,142.46,142.46,137.77486,137.77486,111.8379,179.28099
2022-07-09T01:00:00.000000000,153.31,153.31,162.21985,162.21986,136.28289,203.72598
2022-07-09T02:00:00.000000000,187.64,187.64,195.80705,195.80703,169.87007,237.31315
2022-07-09T03:00:00.000000000,242.07,242.07,221.67258,221.67258,195.73561,263.1787
2022-07-09T04:00:00.000000000,248.02,248.02,231.26586,231.26584,205.32888,272.77196
2022-07-09T05:00:00.000000000,237.45,237.45,228.83811,228.83811,202.90114,270.34423
2022-07-09T06:00:00.000000000,225.02,225.02,222.45961,222.45961,196.52265,263.96573
2022-07-09T07:00:00.000000000,212.94,212.94,218.8837,218.8837,192.94674,260.38982
2022-07-09T08:00:00.000000000,215.54,215.54,219.55522,219.55522,193.61826,261.06134
2022-07-09T09:00:00.000000000,201.88,201.88,216.07797,216.07797,190.14101,257.58409
2022-07-09T10:00:00.000000000,191.67,191.67,207.89981,207.89981,181.96284,249.40593
2022-07-09T11:00:00.000000000,181.0,181.0,208.30923,208.30923,182.37226,249.81535
2022-07-09T12:00:00.000000000,172.63,172.63,215.59481,215.59481,189.65785,257.10093
2022-07-09T13:00:00.000000000,160.1,160.1,209.71818,209.71818,183.78122,251.22431
2022-07-09T14:00:00.000000000,132.56,132.56,183.26962,183.26962,157.33266,224.77575
2022-07-09T15:00:00.000000000,82.29,82.29,147.69371,147.69372,121.75675,189.19984
2022-07-09T16:00:00.000000000,92.31,92.31,121.21643,121.21645,95.27949,162.72257
2022-07-09T17:00:00.000000000,89.21,89.21,110.77994,110.77996,84.84299,152.28608
2022-07-09T18:00:00.000000000,81.06,81.06,113.1121,113.11212,87.17515,154.61824
2022-07-09T19:00:00.000000000,75.88,75.88,115.89028,115.89029,89.95333,157.39641
2022-07-09T20:00:00.000000000,69.73,69.73,114.14295,114.14296,88.20599,155.64908
2022-07-09T21:00:00.000000000,72.39,72.39,114.3985,114.39851,88.46155,155.90463
2022-07-09T22:00:00.000000000,80.98,80.98,119.67186,119.67186,93.7349,161.17798
2022-07-09T23:00:00.000000000,101.79,101.79,127.69363,127.69363,101.75667,169.19975
2022-07-10T00:00:00.000000000,118.76,118.76,90.04765,90.04766,27.34653,100.4206
2022-07-10T01:00:00.000000000,141.76,141.76,119.12583,119.12583,56.42469,129.49876
2022-07-10T02:00:00.000000000,174.99,174.99,159.24634,159.24634,96.5452,169.61927
2022-07-10T03:00:00.000000000,227.58,227.58,188.37367,188.37366,125.67253,198.7466
2022-07-10T04:00:00.000000000,232.69,232.69,198.94938,198.94938,136.24825,209.32232
2022-07-10T05:00:00.000000000,228.53,228.53,197.89966,197.89966,135.19852,208.27259
2022-07-10T06:00:00.000000000,211.07,211.07,191.98683,191.98683,129.28569,202.35976
2022-07-10T07:00:00.000000000,199.53,199.53,187.58841,187.58841,124.88728,197.96135
2022-07-10T08:00:00.000000000,198.62,198.62,186.45385,186.45385,123.75272,196.82679
2022-07-10T09:00:00.000000000,187.28,187.28,182.55209,182.55209,119.85095,192.92502
2022-07-10T10:00:00.000000000,177.13,177.13,176.47553,176.47553,113.77439,186.84846
2022-07-10T11:00:00.000000000,168.91,168.91,174.3777,174.3777,111.67656,184.75063
2022-07-10T12:00:00.000000000,168.86,168.86,173.43923,173.43923,110.73809,183.81216
2022-07-10T13:00:00.000000000,169.13,169.13,164.42441,164.42441,101.72327,174.79734
2022-07-10T14:00:00.000000000,147.7,147.7,146.0037,146.0037,83.30257,156.37664
2022-07-10T15:00:00.000000000,98.85,98.85,123.63309,123.63309,60.93196,134.00603
2022-07-10T16:00:00.000000000,97.97,97.97,104.00118,104.00118,41.30004,114.37411
2022-07-10T17:00:00.000000000,97.49,97.49,91.76561,91.76561,29.06448,102.13855
2022-07-10T18:00:00.000000000,94.19,94.19,87.28185,87.28185,24.58072,97.65479
2022-07-10T19:00:00.000000000,93.91,93.91,83.48799,83.488,20.78686,93.86093
2022-07-10T20:00:00.000000000,100.41,100.41,79.01202,79.01203,16.31089,89.38496
2022-07-10T21:00:00.000000000,107.47,107.47,78.34734,78.34734,15.6462,88.72027
2022-07-10T22:00:00.000000000,121.04,121.04,80.39589,80.3959,17.69476,90.76883
2022-07-10T23:00:00.000000000,139.86,139.86,83.93892,83.93892,21.23779,94.31186
2022-07-11T00:00:00.000000000,156.38,156.38,147.40284,147.40283,128.25103,217.61699
2022-07-11T01:00:00.000000000,168.71,168.71,175.53679,175.53679,156.385,245.75096
2022-07-11T02:00:00.000000000,204.43,204.43,210.58219,210.58219,191.4304,280.79635
2022-07-11T03:00:00.000000000,256.18,256.18,233.33313,233.33315,214.18135,303.54731
2022-07-11T04:00:00.000000000,260.81,260.81,237.83674,237.83674,218.68494,308.0509
2022-07-11T05:00:00.000000000,252.01,252.01,232.70775,232.70775,213.55595,302.92191
2022-07-11T06:00:00.000000000,243.59,243.59,224.05795,224.05795,204.90615,294.27211
2022-07-11T07:00:00.000000000,239.47,239.47,215.05742,215.05742,195.90563,285.27158
2022-07-11T08:00:00.000000000,240.04,240.04,208.32377,208.32377,189.17197,278.53793
2022-07-11T09:00:00.000000000,232.34,232.34,200.63227,200.63227,181.48047,270.84643
2022-07-11T10:00:00.000000000,229.02,229.02,193.27302,193.27302,174.12122,263.48718
2022-07-11T11:00:00.000000000,218.16,218.16,194.87607,194.87605,175.72426,265.09021
2022-07-11T12:00:00.000000000,222.44,222.44,200.38032,200.38032,181.22852,270.59448
2022-07-11T13:00:00.000000000,226.79,226.79,195.09568,195.09568,175.94388,265.30984
2022-07-11T14:00:00.000000000,206.51,206.51,174.77716,174.77716,155.62536,244.99132
2022-07-11T15:00:00.000000000,169.75,169.75,146.53023,146.53023,127.37844,216.7444
2022-07-11T16:00:00.000000000,154.06,154.06,123.6729,123.67291,104.52111,193.88707
2022-07-11T17:00:00.000000000,154.04,154.04,111.77458,111.77458,92.62278,181.98874
2022-07-11T18:00:00.000000000,151.36,151.36,111.22771,111.22772,92.07592,181.44188
2022-07-11T19:00:00.000000000,156.67,156.67,114.27399,114.27399,95.12219,184.48815
2022-07-11T20:00:00.000000000,164.08,164.08,117.34222,117.34221,98.19041,187.55637
2022-07-11T21:00:00.000000000,167.2,167.2,121.66266,121.66266,102.51086,191.87682
2022-07-11T22:00:00.000000000,174.96,174.96,126.57366,126.57366,107.42186,196.78782
2022-07-11T23:00:00.000000000,174.79,174.79,133.51234,133.51234,114.36054,203.7265
2022-07-12T00:00:00.000000000,178.54,178.54,182.51198,182.51198,173.31963,261.21183
2022-07-12T01:00:00.000000000,188.38,188.38,202.11852,202.11852,192.92618,280.81837
2022-07-12T02:00:00.000000000,223.71,223.71,227.52732,227.52732,218.33497,306.22717
2022-07-12T03:00:00.000000000,270.34,270.34,246.28013,246.28013,237.08778,324.97998
2022-07-12T04:00:00.000000000,275.53,275.53,252.17732,252.17732,242.98498,330.87717
2022-07-12T05:00:00.000000000,263.11,263.11,249.38832,249.38832,240.19597,328.08817
2022-07-12T06:00:00.000000000,247.88,247.88,243.37838,243.37838,234.18604,322.07823
2022-07-12T07:00:00.000000000,229.41,229.41,239.13563,239.13563,229.94328,317.83548
2022-07-12T08:00:00.000000000,232.54,232.54,237.66908,237.66908,228.47674,316.36894
2022-07-12T09:00:00.000000000,229.61,229.61,234.35549,234.35549,225.16314,313.05534
2022-07-12T10:00:00.000000000,226.6,226.6,229.63302,229.63302,220.44068,308.33287
2022-07-12T11:00:00.000000000,230.59,230.59,230.97599,230.97599,221.78365,309.67584
2022-07-12T12:00:00.000000000,229.78,229.78,235.19982,235.19982,226.00748,313.89968
2022-07-12T13:00:00.000000000,230.99,230.99,229.38763,229.38763,220.19528,308.08748
2022-07-12T14:00:00.000000000,210.01,210.01,210.10572,210.10572,200.91337,288.80557
2022-07-12T15:00:00.000000000,157.04,157.04,181.50175,181.50175,172.3094,260.2016
2022-07-12T16:00:00.000000000,136.38,136.38,157.56196,157.56196,148.36961,236.26181
2022-07-12T17:00:00.000000000,132.14,132.14,147.37765,147.37765,138.1853,226.0775
2022-07-12T18:00:00.000000000,132.98,132.98,151.05813,151.05813,141.86578,229.75798
2022-07-12T19:00:00.000000000,134.4,134.4,156.47835,156.47835,147.28601,235.1782
2022-07-12T20:00:00.000000000,136.68,136.68,157.28573,157.28573,148.09339,235.98558
2022-07-12T21:00:00.000000000,142.6,142.6,158.74861,158.74861,149.55627,237.44846
2022-07-12T22:00:00.000000000,149.26,149.26,163.30423,163.30423,154.11188,242.00408
2022-07-12T23:00:00.000000000,156.86,156.86,169.823,169.823,160.63066,248.52285
2022-07-13T00:00:00.000000000,160.43,160.43,172.19146,172.19146,128.73173,191.94835
2022-07-13T01:00:00.000000000,175.05,175.05,203.1046,203.1046,159.64486,222.86149
2022-07-13T02:00:00.000000000,211.18,211.18,235.08781,235.08781,191.62807,254.8447
2022-07-13T03:00:00.000000000,259.25,259.25,253.9732,253.9732,210.51347,273.73009
2022-07-13T04:00:00.000000000,264.22,264.22,256.84157,256.84157,213.38184,276.59846
2022-07-13T05:00:00.000000000,249.8,249.8,251.43085,251.43085,207.97111,271.18773
2022-07-13T06:00:00.000000000,243.8,243.8,242.55951,242.55951,199.09977,262.31639
2022-07-13T07:00:00.000000000,240.08,240.08,233.8873,233.8873,190.42756,253.64418
2022-07-13T08:00:00.000000000,240.62,240.62,228.22165,228.22165,184.76192,247.97854
2022-07-13T09:00:00.000000000,232.79,232.79,221.99552,221.99552,178.53578,241.7524
2022-07-13T10:00:00.000000000,226.11,226.11,215.04963,215.04963,171.58989,234.80652
2022-07-13T11:00:00.000000000,229.06,229.06,216.17115,216.17115,172.71141,235.92804
2022-07-13T12:00:00.000000000,233.23,233.23,222.01635,222.01635,178.55661,241.77323
2022-07-13T13:00:00.000000000,236.24,236.24,214.61893,214.61893,171.15919,234.37582
2022-07-13T14:00:00.000000000,213.12,213.12,188.97977,188.97977,145.52003,208.73665
2022-07-13T15:00:00.000000000,156.05,156.05,155.23116,155.23116,111.77142,174.98805
2022-07-13T16:00:00.000000000,131.84,131.84,130.79346,130.79346,87.33372,150.55034
2022-07-13T17:00:00.000000000,127.04,127.04,122.0885,122.0885,78.62876,141.84539
2022-07-13T18:00:00.000000000,126.29,126.29,125.16869,125.16869,81.70896,144.92558
2022-07-13T19:00:00.000000000,124.25,124.25,128.53288,128.53288,85.07314,148.28976
2022-07-13T20:00:00.000000000,138.67,138.67,129.18026,129.18026,85.72052,148.93714
2022-07-13T21:00:00.000000000,142.67,142.67,132.46175,132.46175,89.00201,152.21863
2022-07-13T22:00:00.000000000,150.8,150.8,138.59695,138.59695,95.13721,158.35383
2022-07-13T23:00:00.000000000,166.47,166.47,148.50366,148.50366,105.04392,168.26054
2022-07-14T00:00:00.000000000,171.09,171.09,167.34465,167.34465,147.699,218.37727
2022-07-14T01:00:00.000000000,182.88,182.88,192.07213,192.07213,172.42648,243.10475
2022-07-14T02:00:00.000000000,212.76,212.76,221.59299,221.59298,201.94733,272.62559
2022-07-14T03:00:00.000000000,254.5,254.5,241.97102,241.97102,222.32537,293.00363
2022-07-14T04:00:00.000000000,260.62,260.62,247.03874,247.03874,227.39309,298.07135
2022-07-14T05:00:00.000000000,250.01,250.01,242.14222,242.14222,222.49658,293.17484
2022-07-14T06:00:00.000000000,240.58,240.58,234.59481,234.59479,214.94914,285.62741
2022-07-14T07:00:00.000000000,229.21,229.21,229.65319,229.65319,210.00755,280.68581
2022-07-14T08:00:00.000000000,241.76,241.76,227.63334,227.63334,207.9877,278.66596
2022-07-14T09:00:00.000000000,242.31,242.31,222.09359,222.09359,202.44795,273.12621
2022-07-14T10:00:00.000000000,232.99,232.99,214.05583,214.05583,194.41019,265.08845
2022-07-14T11:00:00.000000000,242.43,242.43,215.72435,215.72435,196.07871,266.75697
2022-07-14T12:00:00.000000000,248.03,248.03,223.69498,223.69498,204.04934,274.7276
2022-07-14T13:00:00.000000000,256.57,256.57,217.42696,217.42696,197.78132,268.45958
2022-07-14T14:00:00.000000000,245.07,245.07,190.4635,190.4635,170.81786,241.49612
2022-07-14T15:00:00.000000000,204.49,204.49,155.44,155.44002,135.79437,206.47264
2022-07-14T16:00:00.000000000,184.01,184.01,131.67966,131.67968,112.03403,182.7123
2022-07-14T17:00:00.000000000,163.95,163.95,124.29389,124.29389,104.64825,175.32651
2022-07-14T18:00:00.000000000,165.65,165.65,128.13628,128.13628,108.49064,179.1689
2022-07-14T19:00:00.000000000,170.31,170.31,131.16972,131.16973,111.52408,182.20234
2022-07-14T20:00:00.000000000,170.02,170.02,130.96838,130.96839,111.32275,182.00101
2022-07-14T21:00:00.000000000,174.29,174.29,134.13239,134.13239,114.48675,185.16501
